violation_id,inspection_id,violation_category,violation_date,violation_date_closed,violation_type
208486,265587,Animals and Pests,2012-02-22 00:00:00,2012-03-16 00:00:00,Animal Feces
208487,265587,Animals and Pests,2012-02-22 00:00:00,2012-03-16 00:00:00,"Animals and Pests, not specified"
208488,265609,Building Conditions,2012-02-17 00:00:00,2012-03-07 00:00:00,Inadequate Pest Exclusion
208588,265691,Animals and Pests,2012-02-22 00:00:00,2012-04-06 00:00:00,"Rodents, not specified"
208589,265692,Animals and Pests,2012-02-22 00:00:00,,"Animals and Pests, not specified"
208590,265694,Animals and Pests,2012-02-22 00:00:00,2012-03-26 00:00:00,"Animals and Pests, not specified"
208600,265709,Garbage and Refuse,2012-02-22 00:00:00,,Refuse Accumulation
207418,264347,Unsanitary Conditions,2012-01-11 00:00:00,2012-01-13 00:00:00,"Unsanitary conditions, not specified"
207419,264347,Animals and Pests,2012-01-11 00:00:00,2012-01-13 00:00:00,Animal Feces
207490,264406,Chemical Hazards,2012-02-08 00:00:00,2012-04-09 00:00:00,Lead Hazard
207491,264408,Chemical Hazards,2012-02-08 00:00:00,2012-06-01 00:00:00,Lead Hazard
207492,264408,Vegetation,2012-02-08 00:00:00,2012-04-13 00:00:00,Overgrown Vegetation
207610,264491,Chemical Hazards,2012-02-08 00:00:00,2012-02-20 00:00:00,Lead Hazard
208709,265817,Unsanitary Conditions,2012-02-23 00:00:00,2012-02-27 00:00:00,"Unsanitary conditions, not specified"
208375,265430,Garbage and Refuse,2012-02-17 00:00:00,2012-04-12 00:00:00,Refuse Accumulation
208376,265430,Garbage and Refuse,2012-02-17 00:00:00,2012-04-12 00:00:00,Refuse Accumulation
208377,265430,Unsanitary Conditions,2012-02-17 00:00:00,2012-04-12 00:00:00,"Unsanitary conditions, not specified"
208003,265049,Garbage and Refuse,2012-02-14 00:00:00,2012-03-19 00:00:00,Refuse Accumulation
208004,265049,Garbage and Refuse,2012-02-14 00:00:00,2012-03-19 00:00:00,Refuse Accumulation
208005,265050,Garbage and Refuse,2012-02-14 00:00:00,2012-02-23 00:00:00,Refuse Accumulation
208006,265050,Vegetation,2012-02-14 00:00:00,2012-02-23 00:00:00,Overgrown Vegetation
208007,265050,Garbage and Refuse,2012-02-14 00:00:00,2012-02-23 00:00:00,Abandoned Vehicle
208266,265284,Garbage and Refuse,2012-02-15 00:00:00,,Refuse Accumulation
208267,265288,Garbage and Refuse,2012-02-15 00:00:00,2012-03-02 00:00:00,Refuse Accumulation
208268,265295,Animals and Pests,2012-02-15 00:00:00,,Animal Feces
208651,265782,Animals and Pests,2012-02-23 00:00:00,2012-03-08 00:00:00,"Rodents, not specified"
209039,266178,Chemical Hazards,2012-02-28 00:00:00,2012-04-24 00:00:00,Lead Hazard
209113,266257,Unsanitary Conditions,2012-02-24 00:00:00,2012-05-08 00:00:00,"Unsanitary conditions, not specified"
209325,266485,Unsanitary Conditions,2012-02-23 00:00:00,2012-11-02 00:00:00,"Unsanitary conditions, not specified"
209326,266485,Animals and Pests,2012-02-23 00:00:00,2012-11-02 00:00:00,"Insects, not specified"
209332,266505,Garbage and Refuse,2012-02-28 00:00:00,2012-03-01 00:00:00,Abandoned Vehicle
212302,269928,Garbage and Refuse,2012-04-03 00:00:00,2012-04-17 00:00:00,Refuse Accumulation
212303,269928,Vegetation,2012-04-03 00:00:00,2012-04-17 00:00:00,Overgrown Vegetation
212304,269928,Garbage and Refuse,2012-04-03 00:00:00,2012-04-17 00:00:00,Refuse Accumulation
212305,269929,Animals and Pests,2012-04-03 00:00:00,2012-04-12 00:00:00,Animal Feces
212306,269929,Animals and Pests,2012-04-03 00:00:00,2012-04-12 00:00:00,"Animals, Prohibited number"
212307,269933,Vegetation,2012-04-03 00:00:00,2012-05-14 00:00:00,Overgrown Vegetation
212308,269934,Garbage and Refuse,2012-04-03 00:00:00,2012-05-17 00:00:00,Refuse Accumulation
212309,269934,Garbage and Refuse,2012-04-03 00:00:00,2012-05-17 00:00:00,Refuse Accumulation
212366,269986,Animals and Pests,2012-04-04 00:00:00,2012-04-30 00:00:00,"Rodents, not specified"
212367,269988,Animals and Pests,2012-04-04 00:00:00,2012-04-12 00:00:00,"Animals and Pests, not specified"
212368,269990,Vegetation,2012-04-04 00:00:00,2012-06-28 00:00:00,Overgrown Vegetation
210718,268269,Garbage and Refuse,2012-03-19 00:00:00,2012-03-21 00:00:00,Refuse Accumulation
210719,268269,Garbage and Refuse,2012-03-19 00:00:00,2012-03-21 00:00:00,Refuse Accumulation
210926,268469,Unsanitary Conditions,2012-03-20 00:00:00,,"Unsanitary conditions, not specified"
209427,266566,Animals and Pests,2012-02-22 00:00:00,2012-04-12 00:00:00,"Insects, not specified"
209428,266566,Animals and Pests,2012-02-22 00:00:00,2012-04-12 00:00:00,"Animals and Pests, not specified"
209438,266627,Animals and Pests,2012-02-24 00:00:00,2012-03-13 00:00:00,"Insects, not specified"
210065,267423,Animals and Pests,2012-03-08 00:00:00,,"Animals and Pests, not specified"
209460,266657,Vegetation,2012-03-02 00:00:00,,Overgrown Vegetation
209461,266657,Garbage and Refuse,2012-03-02 00:00:00,,Refuse Accumulation
209852,267223,Animals and Pests,2012-03-06 00:00:00,2012-04-20 00:00:00,Animal Feces
209853,267223,Animals and Pests,2012-03-06 00:00:00,2012-04-20 00:00:00,"Animals and Pests, not specified"
210320,267728,Vegetation,2012-03-13 00:00:00,2012-04-16 00:00:00,Overgrown Vegetation
210321,267742,Chemical Hazards,2012-03-13 00:00:00,2012-06-11 00:00:00,Lead Hazard
210326,267746,Animals and Pests,2012-03-13 00:00:00,2012-05-31 00:00:00,"Rodents, not specified"
212021,269548,Vegetation,2012-03-27 00:00:00,2012-05-23 00:00:00,Overgrown Vegetation
212022,269549,Chemical Hazards,2012-03-27 00:00:00,2012-05-03 00:00:00,Lead Hazard
212023,269550,Garbage and Refuse,2012-03-27 00:00:00,2012-07-24 00:00:00,Refuse Accumulation
212024,269550,Chemical Hazards,2012-03-27 00:00:00,2012-07-24 00:00:00,Lead Hazard
212055,269565,Building Conditions,2012-03-30 00:00:00,2012-04-03 00:00:00,Mold or Mildew
213137,271052,Vegetation,2012-04-17 00:00:00,2012-04-30 00:00:00,Overgrown Vegetation
213148,271133,Animals and Pests,2012-04-17 00:00:00,2012-04-26 00:00:00,"Insects, not specified"
213171,271180,Building Conditions,2012-04-18 00:00:00,2012-05-01 00:00:00,Mold or Mildew
213217,271238,Animals and Pests,2012-04-19 00:00:00,2012-07-09 00:00:00,"Insects, not specified"
213218,271245,Animals and Pests,2012-04-18 00:00:00,2012-04-30 00:00:00,Animal Feces
213219,271246,Garbage and Refuse,2012-04-18 00:00:00,2012-07-02 00:00:00,Refuse Accumulation
210398,267850,Animals and Pests,2012-03-14 00:00:00,2012-03-28 00:00:00,"Rodents, not specified"
212892,270707,Biohazards,2012-04-13 00:00:00,2012-04-18 00:00:00,Human Feces
214166,272923,Animals and Pests,2012-05-08 00:00:00,2012-05-08 00:00:00,Animal Feces
214177,272964,Garbage and Refuse,2012-05-08 00:00:00,2012-12-06 00:00:00,Refuse Accumulation
211789,269337,Vegetation,2012-03-28 00:00:00,2012-08-29 00:00:00,Overgrown Vegetation
211313,268795,Vegetation,2012-03-22 00:00:00,2012-04-10 00:00:00,Overgrown Vegetation
211314,268804,Vegetation,2012-03-22 00:00:00,,Overgrown Vegetation
211315,268804,Garbage and Refuse,2012-03-22 00:00:00,,Refuse Accumulation
214351,273183,Building Conditions,2012-05-01 00:00:00,2012-04-17 00:00:00,Mold or Mildew
211420,268891,Unsanitary Conditions,2012-03-19 00:00:00,2012-07-26 00:00:00,"Unsanitary conditions, not specified"
211421,268922,Chemical Hazards,2012-03-22 00:00:00,2012-06-18 00:00:00,Lead Hazard
211431,268944,Vegetation,2012-03-23 00:00:00,2012-06-07 00:00:00,Overgrown Vegetation
211538,269050,Unsanitary Conditions,2012-03-26 00:00:00,2012-04-09 00:00:00,"Unsanitary conditions, not specified"
211539,269051,Garbage and Refuse,2012-03-26 00:00:00,2012-04-23 00:00:00,Refuse Accumulation
212101,269669,Vegetation,2012-03-29 00:00:00,,Overgrown Vegetation
212140,269750,Animals and Pests,2012-03-30 00:00:00,2012-06-07 00:00:00,"Rodents, not specified"
212194,269829,Animals and Pests,2012-03-27 00:00:00,2012-06-27 00:00:00,"Insects, not specified"
212219,269857,Garbage and Refuse,2012-04-03 00:00:00,2012-05-01 00:00:00,Refuse Accumulation
212220,269857,Building Conditions,2012-04-03 00:00:00,2012-05-01 00:00:00,Inadequate Pest Exclusion
212221,269858,Garbage and Refuse,2012-04-03 00:00:00,2012-04-18 00:00:00,Refuse Accumulation
212222,269859,Garbage and Refuse,2012-04-03 00:00:00,2012-04-06 00:00:00,Refuse Accumulation
212426,270061,Unsanitary Conditions,2012-04-03 00:00:00,2012-05-22 00:00:00,"Unsanitary conditions, not specified"
212427,270061,Building Conditions,2012-04-03 00:00:00,2012-04-17 00:00:00,Mold or Mildew
212600,270264,Animals and Pests,2012-04-09 00:00:00,2012-04-27 00:00:00,"Rodents, not specified"
214990,274144,Animals and Pests,2012-05-22 00:00:00,2012-06-26 00:00:00,"Insects, not specified"
214991,274141,Unsanitary Conditions,2012-05-16 00:00:00,2013-02-26 00:00:00,"Unsanitary conditions, not specified"
214992,274141,Animals and Pests,2012-05-16 00:00:00,2013-02-26 00:00:00,"Insects, not specified"
214993,274141,Animals and Pests,2012-05-16 00:00:00,2013-02-26 00:00:00,"Animals and Pests, not specified"
213220,271246,Animals and Pests,2012-04-18 00:00:00,2012-07-02 00:00:00,"Animals and Pests, not specified"
213229,271261,Chemical Hazards,2012-04-19 00:00:00,2012-06-01 00:00:00,Lead Hazard
213230,271261,Garbage and Refuse,2012-04-19 00:00:00,2012-06-01 00:00:00,Refuse Accumulation
213373,271498,Unsanitary Conditions,2012-04-20 00:00:00,2012-06-29 00:00:00,"Unsanitary conditions, not specified"
213374,271498,Building Conditions,2012-04-20 00:00:00,2012-06-29 00:00:00,Mold or Mildew
213375,271499,Building Conditions,2012-04-20 00:00:00,2012-06-22 00:00:00,Mold or Mildew
213493,271684,Animals and Pests,2012-04-04 00:00:00,2012-04-16 00:00:00,Animal Feces
213494,271693,Animals and Pests,2012-04-24 00:00:00,2012-05-16 00:00:00,"Insects, not specified"
213502,271703,Garbage and Refuse,2012-04-24 00:00:00,2012-05-17 00:00:00,Refuse Accumulation
213535,271747,Animals and Pests,2012-04-25 00:00:00,2012-05-08 00:00:00,"Rodents, not specified"
213550,271785,Garbage and Refuse,2012-04-13 00:00:00,2012-04-25 00:00:00,Refuse Accumulation
213551,271785,Vegetation,2012-04-13 00:00:00,2012-04-25 00:00:00,Overgrown Vegetation
213566,271799,Vegetation,2012-04-13 00:00:00,2012-04-23 00:00:00,Overgrown Vegetation
213682,272010,Animals and Pests,2012-04-27 00:00:00,2012-06-25 00:00:00,Animal Feces
213740,272159,Building Conditions,2012-03-06 00:00:00,2012-04-24 00:00:00,Mold or Mildew
213741,272159,Animals and Pests,2012-03-06 00:00:00,2012-04-24 00:00:00,"Animals and Pests, not specified"
213742,272159,Animals and Pests,2012-03-06 00:00:00,2013-02-26 00:00:00,"Insects, not specified"
213792,272235,Animals and Pests,2012-04-30 00:00:00,2012-05-21 00:00:00,"Animals and Pests, not specified"
213857,272356,Unsanitary Conditions,2012-05-01 00:00:00,2012-06-19 00:00:00,"Unsanitary conditions, not specified"
213898,272435,Animals and Pests,2012-05-02 00:00:00,2012-05-08 00:00:00,"Insects, not specified"
213979,272584,Vegetation,2012-05-02 00:00:00,2012-07-05 00:00:00,Overgrown Vegetation
214046,272705,Animals and Pests,2012-05-03 00:00:00,2012-07-06 00:00:00,Animal Feces
214047,272708,Animals and Pests,2012-05-04 00:00:00,2012-06-08 00:00:00,"Insects, not specified"
216165,275904,Garbage and Refuse,2012-06-01 00:00:00,2012-06-28 00:00:00,Refuse Accumulation
216166,275904,Unsanitary Conditions,2012-06-01 00:00:00,2012-06-28 00:00:00,"Unsanitary conditions, not specified"
214485,273396,Garbage and Refuse,2012-05-14 00:00:00,2012-05-23 00:00:00,Refuse Accumulation
214486,273396,Animals and Pests,2012-05-14 00:00:00,2012-05-23 00:00:00,Animal Feces
214492,273436,Unsanitary Conditions,2012-05-11 00:00:00,2012-08-10 00:00:00,"Unsanitary conditions, not specified"
214547,273514,Animals and Pests,2012-05-14 00:00:00,2012-09-19 00:00:00,"Insects, not specified"
215139,274473,Vegetation,2012-05-23 00:00:00,2012-06-27 00:00:00,Overgrown Vegetation
214588,273593,Vegetation,2012-05-15 00:00:00,2012-06-12 00:00:00,Overgrown Vegetation
214625,273644,Unsanitary Conditions,2012-04-18 00:00:00,,"Unsanitary conditions, not specified"
214702,273794,Garbage and Refuse,2012-05-17 00:00:00,2012-06-01 00:00:00,Abandoned Vehicle
215360,274692,Vegetation,2012-05-24 00:00:00,2012-06-06 00:00:00,Overgrown Vegetation
215361,274693,Vegetation,2012-05-24 00:00:00,2012-06-18 00:00:00,Overgrown Vegetation
215437,274739,Vegetation,2012-05-16 00:00:00,2012-06-26 00:00:00,Overgrown Vegetation
217010,277153,Chemical Hazards,2012-06-14 00:00:00,2012-10-16 00:00:00,Lead Hazard
217011,277153,Building Conditions,2012-06-14 00:00:00,2012-10-16 00:00:00,Inadequate Ventilation
215962,275520,Garbage and Refuse,2012-05-31 00:00:00,2012-06-15 00:00:00,Refuse Accumulation
216023,275641,Building Conditions,2012-05-23 00:00:00,2012-05-29 00:00:00,Mold or Mildew
216054,275681,Vegetation,2012-06-04 00:00:00,,Overgrown Vegetation
216055,275681,Animals and Pests,2012-06-04 00:00:00,,"Rodents, not specified"
216091,275799,Vegetation,2012-06-05 00:00:00,,Overgrown Vegetation
216092,275799,Animals and Pests,2012-06-05 00:00:00,,"Animals and Pests, not specified"
216093,275801,Garbage and Refuse,2012-06-05 00:00:00,,Refuse Accumulation
216135,275846,Vegetation,2012-06-05 00:00:00,2012-06-19 00:00:00,Overgrown Vegetation
216443,276296,Garbage and Refuse,2012-06-08 00:00:00,2012-06-11 00:00:00,Refuse Accumulation
216444,276298,Vegetation,2012-06-08 00:00:00,2012-06-27 00:00:00,Overgrown Vegetation
216494,276426,Unsanitary Conditions,2012-06-05 00:00:00,2012-08-01 00:00:00,"Unsanitary conditions, not specified"
216495,276426,Animals and Pests,2012-06-05 00:00:00,2012-08-01 00:00:00,"Animals and Pests, not specified"
216496,276426,Unsanitary Conditions,2012-06-05 00:00:00,2012-08-01 00:00:00,"Unsanitary conditions, not specified"
216663,276601,Vegetation,2012-06-12 00:00:00,2012-06-21 00:00:00,Overgrown Vegetation
216668,276612,Vegetation,2012-06-12 00:00:00,2012-06-25 00:00:00,Overgrown Vegetation
216796,276756,Animals and Pests,2012-06-13 00:00:00,2012-06-22 00:00:00,"Rodents, not specified"
216913,276930,Animals and Pests,2012-06-14 00:00:00,2012-08-30 00:00:00,Animal Feces
217041,277255,Unsanitary Conditions,2012-06-12 00:00:00,2012-07-10 00:00:00,"Unsanitary conditions, not specified"
217042,277255,Unsanitary Conditions,2012-06-12 00:00:00,2012-07-10 00:00:00,"Unsanitary conditions, not specified"
217043,277255,Animals and Pests,2012-06-12 00:00:00,2012-07-10 00:00:00,"Animals and Pests, not specified"
217057,277273,Vegetation,2012-06-18 00:00:00,2012-06-25 00:00:00,Overgrown Vegetation
217058,277274,Vegetation,2012-06-18 00:00:00,2012-07-09 00:00:00,Overgrown Vegetation
217060,277276,Vegetation,2012-06-18 00:00:00,2012-07-24 00:00:00,Overgrown Vegetation
217061,277276,Garbage and Refuse,2012-06-18 00:00:00,2012-07-24 00:00:00,Refuse Accumulation
217087,277300,Garbage and Refuse,2012-06-15 00:00:00,2012-12-07 00:00:00,Refuse Accumulation
217176,277410,Animals and Pests,2012-06-19 00:00:00,2012-08-07 00:00:00,"Insects, not specified"
217212,277478,Vegetation,2012-06-19 00:00:00,2012-09-19 00:00:00,Overgrown Vegetation
217213,277478,Unsanitary Conditions,2012-06-19 00:00:00,2012-09-19 00:00:00,"Unsanitary conditions, not specified"
217218,277485,Vegetation,2012-06-19 00:00:00,2012-07-17 00:00:00,Overgrown Vegetation
217277,277544,Garbage and Refuse,2012-06-19 00:00:00,2012-07-05 00:00:00,Refuse Accumulation
217398,277686,Animals and Pests,2012-06-21 00:00:00,,Animal Feces
217419,277707,Chemical Hazards,2012-06-14 00:00:00,2012-08-21 00:00:00,Lead Hazard
219873,281169,Vegetation,2012-07-27 00:00:00,2012-11-01 00:00:00,Overgrown Vegetation
219874,281164,Garbage and Refuse,2012-07-27 00:00:00,,Refuse Accumulation
219875,281164,Animals and Pests,2012-07-27 00:00:00,,"Insects, not specified"
219876,281164,Animals and Pests,2012-07-27 00:00:00,,"Rodents, not specified"
219895,281184,Garbage and Refuse,2012-07-27 00:00:00,,Refuse Accumulation
219896,281184,Animals and Pests,2012-07-27 00:00:00,,"Insects, not specified"
219897,281184,Unsanitary Conditions,2012-07-27 00:00:00,,"Unsanitary conditions, not specified"
219898,281192,Garbage and Refuse,2012-07-27 00:00:00,,Refuse Accumulation
219900,281192,Animals and Pests,2012-07-27 00:00:00,,"Insects, not specified"
219901,281192,Animals and Pests,2012-07-27 00:00:00,,"Rodents, not specified"
219289,280528,Garbage and Refuse,2012-07-05 00:00:00,2012-07-17 00:00:00,Refuse Accumulation
217556,277955,Unsanitary Conditions,2012-06-15 00:00:00,,"Unsanitary conditions, not specified"
217557,277955,Unsanitary Conditions,2012-06-15 00:00:00,,"Unsanitary conditions, not specified"
217951,278472,Garbage and Refuse,2012-06-28 00:00:00,,Refuse Accumulation
217952,278476,Garbage and Refuse,2012-06-28 00:00:00,2013-01-09 00:00:00,Refuse Accumulation
218082,278688,Vegetation,2012-06-05 00:00:00,2012-07-11 00:00:00,Overgrown Vegetation
218135,278848,Chemical Hazards,2012-06-28 00:00:00,2012-08-31 00:00:00,Lead Hazard
218136,278849,Chemical Hazards,2012-06-28 00:00:00,2012-10-29 00:00:00,Lead Hazard
218137,278849,Garbage and Refuse,2012-06-28 00:00:00,2012-10-29 00:00:00,Refuse Accumulation
218138,278852,Chemical Hazards,2012-06-28 00:00:00,2012-10-23 00:00:00,Lead Hazard
218139,278852,Animals and Pests,2012-06-28 00:00:00,2012-10-23 00:00:00,"Animals and Pests, not specified"
217542,277943,Garbage and Refuse,2012-06-25 00:00:00,2012-10-16 00:00:00,Abandoned Vehicle
217608,278036,Unsanitary Conditions,2012-06-20 00:00:00,2012-08-16 00:00:00,"Unsanitary conditions, not specified"
217609,278036,Animals and Pests,2012-06-20 00:00:00,2012-08-16 00:00:00,"Insects, not specified"
217616,278042,Garbage and Refuse,2012-06-19 00:00:00,,Refuse Accumulation
217617,278042,Animals and Pests,2012-06-19 00:00:00,,"Animals and Pests, not specified"
217626,278049,Unsanitary Conditions,2012-06-19 00:00:00,,"Unsanitary conditions, not specified"
219431,280696,Vegetation,2012-07-26 00:00:00,,Overgrown Vegetation
219450,280751,Vegetation,2012-07-26 00:00:00,2012-08-30 00:00:00,Overgrown Vegetation
218206,279011,Building Conditions,2012-07-05 00:00:00,2012-07-17 00:00:00,Mold or Mildew
218207,279011,Animals and Pests,2012-07-05 00:00:00,2012-07-17 00:00:00,"Insects, not specified"
218247,279053,Garbage and Refuse,2012-07-05 00:00:00,2012-07-06 00:00:00,Refuse Accumulation
218275,279097,Animals and Pests,2012-07-06 00:00:00,2012-08-17 00:00:00,Animal Feces
218277,279099,Animals and Pests,2012-07-06 00:00:00,2012-07-20 00:00:00,"Rodents, not specified"
218278,279100,Animals and Pests,2012-07-06 00:00:00,,Animal Feces
218283,279107,Vegetation,2012-07-05 00:00:00,2012-07-25 00:00:00,Overgrown Vegetation
218284,279107,Garbage and Refuse,2012-07-05 00:00:00,2012-07-25 00:00:00,Refuse Accumulation
218285,279108,Garbage and Refuse,2012-07-05 00:00:00,2012-07-10 00:00:00,Abandoned Vehicle
218298,279110,Garbage and Refuse,2012-07-05 00:00:00,2012-07-05 00:00:00,Refuse Accumulation
218299,279132,Garbage and Refuse,2012-07-05 00:00:00,,Abandoned Vehicle
218300,279133,Garbage and Refuse,2012-07-05 00:00:00,2012-07-10 00:00:00,Abandoned Vehicle
218301,279134,Garbage and Refuse,2012-07-05 00:00:00,2012-08-23 00:00:00,Abandoned Vehicle
218302,279136,Animals and Pests,2012-07-06 00:00:00,,Animal Feces
218303,279136,Animals and Pests,2012-07-06 00:00:00,,"Animals and Pests, not specified"
219634,280984,Animals and Pests,2012-07-31 00:00:00,2012-09-27 00:00:00,"Animals and Pests, not specified"
219639,280991,Animals and Pests,2012-07-31 00:00:00,,Animal Feces
219644,280994,Vegetation,2012-07-31 00:00:00,2013-03-14 00:00:00,Overgrown Vegetation
217847,278346,Animals and Pests,2012-06-27 00:00:00,2012-07-23 00:00:00,"Insects, not specified"
217864,278370,Unsanitary Conditions,2012-06-21 00:00:00,2012-07-24 00:00:00,"Unsanitary conditions, not specified"
217865,278370,Building Conditions,2012-06-21 00:00:00,2012-07-24 00:00:00,Mold or Mildew
217866,278370,Animals and Pests,2012-06-21 00:00:00,2012-07-24 00:00:00,"Animals and Pests, not specified"
217867,278370,Animals and Pests,2012-06-21 00:00:00,2012-07-24 00:00:00,"Insects, not specified"
217868,278370,Animals and Pests,2012-06-21 00:00:00,2012-07-24 00:00:00,"Rodents, not specified"
217869,278370,Unsanitary Conditions,2012-06-21 00:00:00,2012-07-24 00:00:00,"Unsanitary conditions, not specified"
217914,278427,Garbage and Refuse,2012-06-26 00:00:00,2012-07-10 00:00:00,Refuse Accumulation
218163,278922,Chemical Hazards,2012-07-03 00:00:00,2013-01-09 00:00:00,Lead Hazard
219171,280325,Building Conditions,2012-07-23 00:00:00,2012-10-09 00:00:00,Mold or Mildew
219481,280783,Unsanitary Conditions,2012-07-12 00:00:00,2012-08-21 00:00:00,"Unsanitary conditions, not specified"
219218,280414,Vegetation,2012-07-24 00:00:00,2012-09-20 00:00:00,Overgrown Vegetation
219232,280462,Vegetation,2012-07-24 00:00:00,2012-08-07 00:00:00,Overgrown Vegetation
219235,280468,Vegetation,2012-07-23 00:00:00,2012-08-14 00:00:00,Overgrown Vegetation
219236,280468,Vegetation,2012-07-23 00:00:00,2012-08-14 00:00:00,Poison Ivy or Poison Oak
218337,279215,Animals and Pests,2012-07-09 00:00:00,,Animal Feces
218338,279217,Garbage and Refuse,2012-07-09 00:00:00,2012-07-09 00:00:00,Refuse Accumulation
220588,282422,Animals and Pests,2012-08-16 00:00:00,2013-01-02 00:00:00,"Animals and Pests, not specified"
220589,282423,Animals and Pests,2012-08-16 00:00:00,2012-08-16 00:00:00,"Animals and Pests, not specified"
220607,282429,Animals and Pests,2012-08-16 00:00:00,2012-08-16 00:00:00,"Animals and Pests, not specified"
219567,280907,Animals and Pests,2012-07-27 00:00:00,2012-09-14 00:00:00,"Animals and Pests, not specified"
219568,280909,Animals and Pests,2012-07-27 00:00:00,2012-08-13 00:00:00,"Rodents, not specified"
219586,280947,Animals and Pests,2012-07-26 00:00:00,2012-10-30 00:00:00,"Animals and Pests, not specified"
221472,283505,Garbage and Refuse,2012-08-22 00:00:00,2012-09-18 00:00:00,Refuse Accumulation
221474,283500,Garbage and Refuse,2012-08-16 00:00:00,,Refuse Accumulation
221475,283515,Animals and Pests,2012-08-29 00:00:00,2012-08-31 00:00:00,"Insects, not specified"
218409,279356,Animals and Pests,2012-07-06 00:00:00,2012-07-25 00:00:00,"Animals and Pests, not specified"
218411,279387,Animals and Pests,2012-07-10 00:00:00,2012-07-23 00:00:00,Animal Feces
218445,279442,Vegetation,2012-07-10 00:00:00,2012-07-27 00:00:00,Overgrown Vegetation
218446,279443,Garbage and Refuse,2012-07-10 00:00:00,2012-07-24 00:00:00,Abandoned Vehicle
218593,279644,Garbage and Refuse,2012-07-12 00:00:00,2012-08-23 00:00:00,Abandoned Vehicle
218598,279649,Vegetation,2012-07-12 00:00:00,2012-08-13 00:00:00,Overgrown Vegetation
218599,279654,Vegetation,2012-07-12 00:00:00,2012-09-25 00:00:00,Overgrown Vegetation
218642,279721,Vegetation,2012-07-12 00:00:00,2012-07-30 00:00:00,Overgrown Vegetation
218643,279721,Garbage and Refuse,2012-07-12 00:00:00,2012-07-30 00:00:00,Refuse Accumulation
218753,279930,Vegetation,2012-07-16 00:00:00,2012-08-23 00:00:00,Overgrown Vegetation
218754,279932,Garbage and Refuse,2012-07-16 00:00:00,2012-07-26 00:00:00,Refuse Accumulation
218755,279932,Garbage and Refuse,2012-07-16 00:00:00,2012-07-26 00:00:00,Refuse Accumulation
218756,279933,Garbage and Refuse,2012-07-16 00:00:00,2012-07-26 00:00:00,Refuse Accumulation
218757,279933,Garbage and Refuse,2012-07-16 00:00:00,2012-07-26 00:00:00,Refuse Accumulation
218765,279945,Vegetation,2012-07-13 00:00:00,2012-09-10 00:00:00,Overgrown Vegetation
218990,280109,Animals and Pests,2012-07-19 00:00:00,,"Rodents, not specified"
220505,282276,Garbage and Refuse,2012-08-14 00:00:00,2012-10-04 00:00:00,Abandoned Vehicle
221148,283114,Animals and Pests,2012-08-23 00:00:00,2012-08-23 00:00:00,"Insects, not specified"
